hotel,is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,arrival_date,year_res_status_date,month_res_status_date,day_res_status_date,reservation_status_day
Resort Hotel,0,100,28,3,7,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Transient,63.86,0,1,processed,2015-07-06,2015,7,16,2015-08-01
Resort Hotel,1,118,31,1,4,2,0.0,0,HB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,186.0,0,2,processed,2015-07-29,2015,7,10,2015-08-01
City Hotel,1,265,28,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-09,2015,1,1,2015-08-01
Resort Hotel,0,14,30,2,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,149.7,1,1,processed,2015-07-24,2015,7,28,2015-08-01
City Hotel,1,276,30,1,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-20,2015,1,1,2015-08-01
Resort Hotel,0,100,27,1,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient-Party,73.8,1,1,processed,2015-07-04,2015,7,6,2015-08-01
Resort Hotel,0,22,29,2,5,2,0.0,0,BB,Direct,Direct,0,0,0,F,No Deposit,Transient,160.0,0,0,processed,2015-07-16,2015,7,23,2015-08-01
Resort Hotel,0,17,27,0,3,2,0.0,0,BB,Direct,Direct,0,0,0,F,No Deposit,Transient,133.0,0,1,processed,2015-07-02,2015,7,5,2015-08-01
City Hotel,1,210,31,1,3,2,0.0,0,BB,Online TA,TA/TO,0,1,0,A,No Deposit,Transient,76.5,0,2,processed,2015-07-30,2015,6,20,2015-08-01
Resort Hotel,0,57,29,0,2,2,0.0,0,FB,Groups,Direct,0,0,0,A,No Deposit,Transient-Party,107.0,0,0,processed,2015-07-15,2015,7,17,2015-08-01
City Hotel,1,22,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,Non Refund,Transient-Party,62.0,0,0,processed,2015-07-22,2015,7,2,2015-08-01
Resort Hotel,0,41,30,2,5,2,2.0,0,HB,Online TA,TA/TO,0,0,0,C,No Deposit,Transient,131.37,0,1,processed,2015-07-19,2015,7,26,2015-08-01
City Hotel,1,110,30,2,1,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,94.5,0,0,processed,2015-07-25,2015,7,22,2015-08-01
Resort Hotel,1,74,31,2,5,2,2.0,0,BB,Direct,Direct,0,0,0,C,No Deposit,Transient,177.14,0,0,processed,2015-08-01,2015,7,15,2015-08-01
City Hotel,0,100,31,0,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,55.96,0,1,processed,2015-07-31,2015,8,2,2015-08-01
City Hotel,1,25,31,1,1,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-27,2015,7,22,2015-08-01
Resort Hotel,0,33,31,2,4,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,Transient,131.2,0,1,processed,2015-07-26,2015,8,1,2015-08-01
City Hotel,1,136,29,1,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient,60.0,0,0,processed,2015-07-17,2015,5,29,2015-08-01
Resort Hotel,1,79,27,6,15,2,1.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,108.73,0,2,processed,2015-07-03,2015,4,15,2015-08-01
Resort Hotel,0,143,31,2,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,90.95,0,1,processed,2015-07-30,2015,8,4,2015-08-01
City Hotel,0,273,29,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,109.0,0,0,processed,2015-07-17,2015,7,19,2015-08-01
Resort Hotel,0,1,30,1,2,3,0.0,0,BB,Online TA,TA/TO,0,0,0,H,No Deposit,Transient,222.67,0,0,processed,2015-07-24,2015,7,27,2015-08-01
Resort Hotel,0,139,28,2,6,2,1.0,0,HB,Direct,Direct,0,0,0,A,No Deposit,Transient,107.2,0,1,processed,2015-07-08,2015,7,16,2015-08-01
Resort Hotel,0,73,31,2,3,3,0.0,0,HB,Direct,Direct,0,0,0,E,No Deposit,Transient,209.0,0,1,processed,2015-07-26,2015,7,31,2015-08-01
Resort Hotel,1,44,30,0,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,135.0,0,1,processed,2015-07-22,2015,6,9,2015-08-01
City Hotel,1,283,31,1,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Contract,62.0,0,0,processed,2015-07-27,2015,1,1,2015-08-01
City Hotel,0,264,28,0,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-08,2015,7,10,2015-08-01
City Hotel,1,85,28,2,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,52.36,0,0,processed,2015-07-05,2015,6,20,2015-08-01
City Hotel,0,138,30,0,1,1,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,57.0,0,0,processed,2015-07-25,2015,7,26,2015-08-01
Resort Hotel,0,50,29,2,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Contract,123.0,0,0,processed,2015-07-12,2015,7,17,2015-08-01
City Hotel,1,147,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient,75.0,0,0,processed,2015-07-21,2015,7,10,2015-08-01
Resort Hotel,0,115,28,2,7,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,120.6,0,2,processed,2015-07-10,2015,7,19,2015-08-01
City Hotel,1,279,30,0,2,2,0.0,0,BB,Groups,TA/TO,1,1,0,A,No Deposit,Transient-Party,62.8,0,0,processed,2015-07-23,2014,10,17,2015-08-01
City Hotel,1,96,30,0,2,1,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,68.0,0,1,processed,2015-07-23,2015,4,24,2015-08-01
City Hotel,1,258,27,0,2,2,0.0,0,BB,Groups,TA/TO,1,1,0,A,No Deposit,Transient-Party,62.8,0,0,processed,2015-07-02,2014,10,17,2015-08-01
City Hotel,0,257,27,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,101.5,0,0,processed,2015-07-01,2015,7,3,2015-08-01
City Hotel,1,281,30,2,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-25,2015,7,6,2015-08-01
City Hotel,0,0,31,0,1,2,0.0,0,BB,Direct,Direct,0,0,0,A,No Deposit,Transient,75.0,0,0,processed,2015-08-01,2015,8,2,2015-08-01
City Hotel,1,286,31,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Contract,62.0,0,0,processed,2015-07-30,2015,1,1,2015-08-01
City Hotel,1,103,29,2,1,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,94.5,0,0,processed,2015-07-18,2015,7,16,2015-08-01
Resort Hotel,0,107,31,2,4,2,1.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,148.16,0,2,processed,2015-07-31,2015,8,6,2015-08-01
City Hotel,0,257,27,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,101.5,0,0,processed,2015-07-01,2015,7,3,2015-08-01
Resort Hotel,0,241,29,2,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,Contract,112.63,0,0,processed,2015-07-17,2015,7,22,2015-08-01
City Hotel,0,273,29,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,109.0,0,0,processed,2015-07-17,2015,7,19,2015-08-01
City Hotel,1,272,29,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-16,2015,1,1,2015-08-01
City Hotel,1,279,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-23,2015,1,1,2015-08-01
City Hotel,1,272,29,0,2,2,0.0,0,BB,Groups,TA/TO,1,1,0,A,No Deposit,Transient-Party,62.8,0,0,processed,2015-07-16,2014,10,17,2015-08-01
Resort Hotel,0,58,29,1,2,2,0.0,0,HB,Direct,Direct,0,0,0,E,No Deposit,Transient,165.0,1,1,processed,2015-07-13,2015,7,16,2015-08-01
Resort Hotel,1,155,29,2,6,2,0.0,0,HB,Offline TA/TO,TA/TO,0,1,0,A,No Deposit,Contract,121.7,0,0,processed,2015-07-18,2015,5,16,2015-08-01
City Hotel,1,279,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-23,2015,1,1,2015-08-01
Resort Hotel,0,86,27,2,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,97.0,0,2,processed,2015-07-04,2015,7,11,2015-08-01
Resort Hotel,0,32,28,4,6,2,0.0,0,HB,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,178.0,1,0,processed,2015-07-11,2015,7,21,2015-08-01
Resort Hotel,1,166,29,0,2,2,0.0,0,FB,Groups,TA/TO,0,24,0,A,Non Refund,Transient,121.5,0,0,processed,2015-07-15,2015,4,28,2015-08-01
City Hotel,0,122,31,0,3,2,0.0,1,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient-Party,76.5,0,1,processed,2015-07-29,2015,8,1,2015-08-01
City Hotel,1,147,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient,75.0,0,0,processed,2015-07-21,2015,7,10,2015-08-01
City Hotel,0,18,29,1,1,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,75.0,0,0,processed,2015-07-18,2015,7,20,2015-08-01
City Hotel,1,148,31,0,2,2,0.0,0,BB,Online TA,TA/TO,0,1,0,A,No Deposit,Transient,76.5,0,2,processed,2015-07-29,2015,3,9,2015-08-01
Resort Hotel,0,6,29,0,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,102.65,1,1,processed,2015-07-16,2015,7,19,2015-08-01
Resort Hotel,0,48,29,0,2,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Transient,123.0,0,0,processed,2015-07-17,2015,7,19,2015-08-01
City Hotel,1,283,31,1,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Transient-Party,62.0,0,0,processed,2015-07-27,2015,6,29,2015-08-01
City Hotel,1,279,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-23,2015,1,1,2015-08-01
City Hotel,1,109,29,0,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,76.5,0,1,processed,2015-07-16,2015,5,7,2015-08-01
City Hotel,1,278,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-22,2015,1,1,2015-08-01
Resort Hotel,0,68,30,1,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,103.5,1,2,processed,2015-07-20,2015,7,24,2015-08-01
Resort Hotel,0,44,28,2,5,1,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,Transient,152.0,0,0,processed,2015-07-10,2015,7,17,2015-08-01
City Hotel,0,3,28,2,1,3,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,138.5,0,0,processed,2015-07-11,2015,7,14,2015-08-01
City Hotel,1,268,29,2,1,2,0.0,0,BB,Offline TA/TO,TA/TO,0,1,0,A,No Deposit,Transient,82.0,0,0,processed,2015-07-12,2015,6,26,2015-08-01
Resort Hotel,0,147,28,0,2,2,0.0,0,BB,Direct,Direct,0,0,0,A,No Deposit,Transient,58.95,0,0,processed,2015-07-07,2015,7,9,2015-08-01
City Hotel,1,276,30,1,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-20,2015,1,1,2015-08-01
City Hotel,0,103,29,2,1,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,94.5,0,0,processed,2015-07-18,2015,7,21,2015-08-01
City Hotel,0,18,29,1,1,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,75.0,0,0,processed,2015-07-18,2015,7,20,2015-08-01
City Hotel,1,260,27,2,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Transient-Party,62.0,0,0,processed,2015-07-04,2015,6,16,2015-08-01
Resort Hotel,1,18,31,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,149.7,0,1,processed,2015-07-31,2015,7,15,2015-08-01
Resort Hotel,0,81,28,1,3,2,2.0,0,HB,Direct,Direct,0,0,0,G,No Deposit,Transient,210.0,1,0,processed,2015-07-06,2015,7,10,2015-08-01
City Hotel,1,185,28,4,6,2,0.0,0,BB,Online TA,TA/TO,0,1,0,A,No Deposit,Transient,76.5,0,0,processed,2015-07-05,2015,5,14,2015-08-01
Resort Hotel,0,115,29,2,5,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,119.7,0,2,processed,2015-07-13,2015,7,20,2015-08-01
Resort Hotel,1,107,30,3,6,1,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,125.0,0,2,processed,2015-07-25,2015,4,15,2015-08-01
Resort Hotel,1,4,31,0,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,154.8,0,3,processed,2015-07-31,2015,7,31,2015-08-01
City Hotel,1,258,27,0,2,2,0.0,0,BB,Groups,TA/TO,1,1,0,A,No Deposit,Transient-Party,62.8,0,0,processed,2015-07-02,2014,10,17,2015-08-01
Resort Hotel,0,37,30,2,3,2,0.0,0,HB,Direct,Direct,0,0,0,D,No Deposit,Transient,146.95,0,2,processed,2015-07-19,2015,7,24,2015-08-01
Resort Hotel,0,143,31,2,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,90.95,0,1,processed,2015-07-30,2015,8,4,2015-08-01
City Hotel,1,276,30,1,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Transient-Party,62.0,0,0,processed,2015-07-20,2015,7,2,2015-08-01
City Hotel,0,115,31,2,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,76.5,0,1,processed,2015-07-29,2015,8,5,2015-08-01
City Hotel,1,25,31,1,1,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-27,2015,7,22,2015-08-01
Resort Hotel,0,27,31,1,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,153.0,0,0,processed,2015-07-27,2015,7,31,2015-08-01
Resort Hotel,1,37,30,2,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,154.0,0,0,processed,2015-07-19,2015,6,29,2015-08-01
City Hotel,0,103,29,2,1,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,94.5,0,0,processed,2015-07-18,2015,7,21,2015-08-01
City Hotel,1,269,29,1,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-13,2015,1,1,2015-08-01
City Hotel,1,136,29,1,2,3,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient,87.0,0,0,processed,2015-07-17,2015,5,29,2015-08-01
Resort Hotel,0,38,31,2,5,2,2.0,0,HB,Direct,Direct,0,0,0,C,No Deposit,Transient,180.0,0,0,processed,2015-07-26,2015,8,2,2015-08-01
Resort Hotel,0,35,30,3,7,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,Transient,132.5,0,0,processed,2015-07-24,2015,8,3,2015-08-01
Resort Hotel,0,33,30,0,3,2,0.0,0,HB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient-Party,184.0,0,1,processed,2015-07-23,2015,7,26,2015-08-01
Resort Hotel,1,96,29,2,7,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,96.9,0,1,processed,2015-07-14,2015,4,11,2015-08-01
City Hotel,1,272,29,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-16,2015,1,1,2015-08-01
Resort Hotel,0,7,29,0,2,2,0.0,0,BB,Direct,Direct,0,0,0,A,No Deposit,Transient,127.25,0,1,processed,2015-07-17,2015,7,19,2015-08-01
Resort Hotel,1,166,29,0,2,2,0.0,0,FB,Groups,TA/TO,0,24,0,A,Non Refund,Transient,121.5,0,0,processed,2015-07-15,2015,4,28,2015-08-01
Resort Hotel,0,16,28,1,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,C,No Deposit,Transient,123.0,0,1,processed,2015-07-11,2015,7,13,2015-08-01
Resort Hotel,0,68,30,2,5,2,0.0,0,BB,Direct,Direct,0,0,0,F,No Deposit,Transient,160.0,0,0,processed,2015-07-23,2015,7,30,2015-08-01
City Hotel,0,271,29,0,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-15,2015,7,17,2015-08-01
Resort Hotel,0,15,31,0,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,173.0,0,2,processed,2015-07-31,2015,8,2,2015-08-01
City Hotel,1,265,28,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-09,2015,1,1,2015-08-01
Resort Hotel,0,152,31,2,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,96.3,0,2,processed,2015-07-26,2015,7,31,2015-08-01
City Hotel,1,269,29,1,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-13,2015,1,1,2015-08-01
City Hotel,1,271,29,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Transient-Party,62.0,0,0,processed,2015-07-15,2015,6,29,2015-08-01
City Hotel,0,132,30,0,1,1,0.0,0,HB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,65.0,0,0,processed,2015-07-23,2015,7,24,2015-08-01
City Hotel,1,281,30,2,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-25,2015,7,6,2015-08-01
Resort Hotel,0,21,28,2,3,2,0.0,2,HB,Direct,Direct,0,0,0,C,No Deposit,Transient,165.0,1,3,processed,2015-07-10,2015,7,15,2015-08-01
City Hotel,1,283,31,1,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Contract,62.0,0,0,processed,2015-07-27,2015,1,1,2015-08-01
Resort Hotel,1,114,31,4,10,2,0.0,0,BB,Offline TA/TO,TA/TO,0,1,0,A,No Deposit,Contract,88.4,0,1,processed,2015-07-26,2015,6,11,2015-08-01
City Hotel,1,279,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-23,2015,1,1,2015-08-01
Resort Hotel,0,53,29,2,3,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,107.0,0,0,processed,2015-07-17,2015,7,22,2015-08-01
City Hotel,1,136,29,1,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient,60.0,0,0,processed,2015-07-17,2015,5,29,2015-08-01
Resort Hotel,0,70,27,2,3,2,0.0,0,HB,Direct,Direct,0,0,0,E,No Deposit,Transient,137.0,0,1,processed,2015-07-02,2015,7,7,2015-08-01
Resort Hotel,0,2,28,1,0,2,0.0,0,BB,Direct,Direct,0,0,0,G,No Deposit,Transient,167.0,0,1,processed,2015-07-05,2015,7,6,2015-08-01
City Hotel,1,283,31,1,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Transient-Party,62.0,0,0,processed,2015-07-27,2015,7,2,2015-08-01
City Hotel,0,132,30,0,1,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,90.0,0,0,processed,2015-07-23,2015,7,24,2015-08-01
City Hotel,1,273,29,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,1,0,A,No Deposit,Transient-Party,101.5,0,0,processed,2015-07-17,2015,7,6,2015-08-01
Resort Hotel,0,90,29,2,5,2,0.0,1,FB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,117.22,1,2,processed,2015-07-12,2015,7,19,2015-08-01
Resort Hotel,0,48,31,2,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient-Party,127.0,1,3,processed,2015-07-26,2015,7,29,2015-08-01
Resort Hotel,0,8,31,2,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,181.5,0,2,processed,2015-07-31,2015,8,4,2015-08-01
City Hotel,0,114,31,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,76.5,0,2,processed,2015-07-27,2015,7,30,2015-08-01
